51# Number of electrodes
# x z
0.000     0.000
1.500     0.000
3.000     0.000
4.500     0.000
6.000     0.000
7.500     0.000
9.000     0.000
10.500     0.000
12.000     0.000
13.500     0.000
15.000     0.000
16.500     0.000
18.000     0.000
19.500     0.000
21.000     0.000
22.500     0.000
24.000     0.000
25.500     0.000
27.000     0.000
28.500     0.000
30.000     0.000
31.500     0.000
33.000     0.000
34.500     0.000
36.000     0.000
37.500     0.000
39.000     0.000
40.500     0.000
42.000     0.000
43.500     0.000
45.000     0.000
46.500     0.000
48.000     0.000
49.500     0.000
51.000     0.000
52.500     0.000
54.000     0.000
55.500     0.000
57.000     0.000
58.500     0.000
60.000     0.000
61.500     0.000
63.000     0.000
64.500     0.000
66.000     0.000
67.500     0.000
69.000     0.000
70.500     0.000
72.000     0.000
73.500     0.000
75.000     0.000
1011# Number of data
# a b m n rhoa x z
1 4 2 3 1332.400 2.250 -0.495
2 5 3 4 1164.412 3.750 -0.495
3 6 4 5 1246.870 5.250 -0.495
4 7 5 6 1384.613 6.750 -0.495
5 8 6 7 1138.268 8.250 -0.495
6 9 7 8 1271.332 9.750 -0.495
7 10 8 9 1290.832 11.250 -0.495
8 11 9 10 1178.974 12.750 -0.495
9 12 10 11 1358.181 14.250 -0.495
10 13 11 12 1296.642 15.750 -0.495
11 14 12 13 1247.473 17.250 -0.495
12 15 13 14 1342.164 18.750 -0.495
13 16 14 15 1260.983 20.250 -0.495
14 17 15 16 1293.296 21.750 -0.495
15 18 16 17 1445.511 23.250 -0.495
16 19 17 18 1139.800 24.750 -0.495
17 20 18 19 1326.717 26.250 -0.495
18 21 19 20 942.689 27.750 -0.495
19 22 20 21 1054.103 29.250 -0.495
20 23 21 22 1083.233 30.750 -0.495
21 24 22 23 1148.831 32.250 -0.495
22 25 23 24 1087.601 33.750 -0.495
23 26 24 25 1202.189 35.250 -0.495
24 27 25 26 1129.347 36.750 -0.495
25 28 26 27 1091.799 38.250 -0.495
26 29 27 28 1039.581 39.750 -0.495
27 30 28 29 1136.421 41.250 -0.495
28 31 29 30 955.229 42.750 -0.495
29 32 30 31 887.558 44.250 -0.495
30 33 31 32 1067.252 45.750 -0.495
31 34 32 33 984.552 47.250 -0.495
32 35 33 34 1163.902 48.750 -0.495
33 36 34 35 1172.895 50.250 -0.495
34 37 35 36 1464.905 51.750 -0.495
35 38 36 37 1207.639 53.250 -0.495
36 39 37 38 1542.374 54.750 -0.495
37 40 38 39 1381.250 56.250 -0.495
38 41 39 40 1287.633 57.750 -0.495
39 42 40 41 1448.906 59.250 -0.495
40 43 41 42 1435.616 60.750 -0.495
41 44 42 43 1087.911 62.250 -0.495
42 45 43 44 1291.870 63.750 -0.495
43 46 44 45 1061.339 65.250 -0.495
44 47 45 46 969.442 66.750 -0.495
45 48 46 47 1142.273 68.250 -0.495
46 49 47 48 1111.306 69.750 -0.495
47 50 48 49 1113.681 71.250 -0.495
48 51 49 50 1358.853 72.750 -0.495
1 7 3 5 497.043 4.500 -0.990
2 8 4 6 527.340 6.000 -0.990
3 9 5 7 553.735 7.500 -0.990
4 10 6 8 476.999 9.000 -0.990
5 11 7 9 552.335 10.500 -0.990
6 12 8 10 528.735 12.000 -0.990
7 13 9 11 532.130 13.500 -0.990
8 14 10 12 548.598 15.000 -0.990
9 15 11 13 562.857 16.500 -0.990
10 16 12 14 569.939 18.000 -0.990
11 17 13 15 603.649 19.500 -0.990
12 18 14 16 604.989 21.000 -0.990
13 19 15 17 546.784 22.500 -0.990
14 20 16 18 575.140 24.000 -0.990
15 21 17 19 607.309 25.500 -0.990
16 22 18 20 536.954 27.000 -0.990
17 23 19 21 502.793 28.500 -0.990
18 24 20 22 559.002 30.000 -0.990
19 25 21 23 554.717 31.500 -0.990
20 26 22 24 462.668 33.000 -0.990
21 27 23 25 516.271 34.500 -0.990
22 28 24 26 642.565 36.000 -0.990
23 29 25 27 489.578 37.500 -0.990
24 30 26 28 434.319 39.000 -0.990
25 31 27 29 510.454 40.500 -0.990
26 32 28 30 561.967 42.000 -0.990
27 33 29 31 398.953 43.500 -0.990
28 34 30 32 413.380 45.000 -0.990
29 35 31 33 497.607 46.500 -0.990
30 36 32 34 491.989 48.000 -0.990
31 37 33 35 511.392 49.500 -0.990
32 38 34 36 513.818 51.000 -0.990
33 39 35 37 501.139 52.500 -0.990
34 40 36 38 605.320 54.000 -0.990
35 41 37 39 620.406 55.500 -0.990
36 42 38 40 535.914 57.000 -0.990
37 43 39 41 587.327 58.500 -0.990
38 44 40 42 614.072 60.000 -0.990
39 45 41 43 499.040 61.500 -0.990
40 46 42 44 488.843 63.000 -0.990
41 47 43 45 561.603 64.500 -0.990
42 48 44 46 482.256 66.000 -0.990
43 49 45 47 464.539 67.500 -0.990
44 50 46 48 486.954 69.000 -0.990
45 51 47 49 483.935 70.500 -0.990
1 10 4 7 279.459 6.750 -1.485
2 11 5 8 286.533 8.250 -1.485
3 12 6 9 281.426 9.750 -1.485
4 13 7 10 276.600 11.250 -1.485
5 14 8 11 289.054 12.750 -1.485
6 15 9 12 312.013 14.250 -1.485
7 16 10 13 304.067 15.750 -1.485
8 17 11 14 312.698 17.250 -1.485
9 18 12 15 317.124 18.750 -1.485
10 19 13 16 290.696 20.250 -1.485
11 20 14 17 312.884 21.750 -1.485
12 21 15 18 327.531 23.250 -1.485
13 22 16 19 320.591 24.750 -1.485
14 23 17 20 305.413 26.250 -1.485
15 24 18 21 319.480 27.750 -1.485
16 25 19 22 291.998 29.250 -1.485
17 26 20 23 303.084 30.750 -1.485
18 27 21 24 299.090 32.250 -1.485
19 28 22 25 322.388 33.750 -1.485
20 29 23 26 292.331 35.250 -1.485
21 30 24 27 278.910 36.750 -1.485
22 31 25 28 273.734 38.250 -1.485
23 32 26 29 283.467 39.750 -1.485
24 33 27 30 274.981 41.250 -1.485
25 34 28 31 284.009 42.750 -1.485
26 35 29 32 276.959 44.250 -1.485
27 36 30 33 263.159 45.750 -1.485
28 37 31 34 291.344 47.250 -1.485
29 38 32 35 273.402 48.750 -1.485
30 39 33 36 274.151 50.250 -1.485
31 40 34 37 261.794 51.750 -1.485
32 41 35 38 287.205 53.250 -1.485
33 42 36 39 272.298 54.750 -1.485
34 43 37 40 314.916 56.250 -1.485
35 44 38 41 299.500 57.750 -1.485
36 45 39 42 307.207 59.250 -1.485
37 46 40 43 288.679 60.750 -1.485
38 47 41 44 289.219 62.250 -1.485
39 48 42 45 278.469 63.750 -1.485
40 49 43 46 292.200 65.250 -1.485
41 50 44 47 266.512 66.750 -1.485
42 51 45 48 262.342 68.250 -1.485
1 13 5 9 218.301 9.000 -1.980
2 14 6 10 204.124 10.500 -1.980
3 15 7 11 221.872 12.000 -1.980
4 16 8 12 228.451 13.500 -1.980
5 17 9 13 224.892 15.000 -1.980
6 18 10 14 234.205 16.500 -1.980
7 19 11 15 225.421 18.000 -1.980
8 20 12 16 227.258 19.500 -1.980
9 21 13 17 237.223 21.000 -1.980
10 22 14 18 231.879 22.500 -1.980
11 23 15 19 247.619 24.000 -1.980
12 24 16 20 244.069 25.500 -1.980
13 25 17 21 233.186 27.000 -1.980
14 26 18 22 231.821 28.500 -1.980
15 27 19 23 221.478 30.000 -1.980
16 28 20 24 233.866 31.500 -1.980
17 29 21 25 232.570 33.000 -1.980
18 30 22 26 228.823 34.500 -1.980
19 31 23 27 233.003 36.000 -1.980
20 32 24 28 222.497 37.500 -1.980
21 33 25 29 226.443 39.000 -1.980
22 34 26 30 218.281 40.500 -1.980
23 35 27 31 215.402 42.000 -1.980
24 36 28 32 227.856 43.500 -1.980
25 37 29 33 221.530 45.000 -1.980
26 38 30 34 217.999 46.500 -1.980
27 39 31 35 214.725 48.000 -1.980
28 40 32 36 219.349 49.500 -1.980
29 41 33 37 208.473 51.000 -1.980
30 42 34 38 200.688 52.500 -1.980
31 43 35 39 209.267 54.000 -1.980
32 44 36 40 208.858 55.500 -1.980
33 45 37 41 234.125 57.000 -1.980
34 46 38 42 233.914 58.500 -1.980
35 47 39 43 220.716 60.000 -1.980
36 48 40 44 249.503 61.500 -1.980
37 49 41 45 227.951 63.000 -1.980
38 50 42 46 199.965 64.500 -1.980
39 51 43 47 199.827 66.000 -1.980
1 16 6 11 185.859 11.250 -2.475
2 17 7 12 194.618 12.750 -2.475
3 18 8 13 196.709 14.250 -2.475
4 19 9 14 189.933 15.750 -2.475
5 20 10 15 198.267 17.250 -2.475
6 21 11 16 207.235 18.750 -2.475
7 22 12 17 204.060 20.250 -2.475
8 23 13 18 210.234 21.750 -2.475
9 24 14 19 217.364 23.250 -2.475
10 25 15 20 206.376 24.750 -2.475
11 26 16 21 204.779 26.250 -2.475
12 27 17 22 209.140 27.750 -2.475
13 28 18 23 205.255 29.250 -2.475
14 29 19 24 189.756 30.750 -2.475
15 30 20 25 201.068 32.250 -2.475
16 31 21 26 211.635 33.750 -2.475
17 32 22 27 205.536 35.250 -2.475
18 33 23 28 207.652 36.750 -2.475
19 34 24 29 219.031 38.250 -2.475
20 35 25 30 207.912 39.750 -2.475
21 36 26 31 196.279 41.250 -2.475
22 37 27 32 206.184 42.750 -2.475
23 38 28 33 205.112 44.250 -2.475
24 39 29 34 193.393 45.750 -2.475
25 40 30 35 191.746 47.250 -2.475
26 41 31 36 196.524 48.750 -2.475
27 42 32 37 179.424 50.250 -2.475
28 43 33 38 188.226 51.750 -2.475
29 44 34 39 188.278 53.250 -2.475
30 45 35 40 193.552 54.750 -2.475
31 46 36 41 200.716 56.250 -2.475
32 47 37 42 216.977 57.750 -2.475
33 48 38 43 212.824 59.250 -2.475
34 49 39 44 219.948 60.750 -2.475
35 50 40 45 207.650 62.250 -2.475
36 51 41 46 189.040 63.750 -2.475
1 19 7 13 170.706 13.500 -2.970
2 20 8 14 176.441 15.000 -2.970
3 21 9 15 180.246 16.500 -2.970
4 22 10 16 182.810 18.000 -2.970
5 23 11 17 191.726 19.500 -2.970
6 24 12 18 197.030 21.000 -2.970
7 25 13 19 195.007 22.500 -2.970
8 26 14 20 187.759 24.000 -2.970
9 27 15 21 191.445 25.500 -2.970
10 28 16 22 191.703 27.000 -2.970
11 29 17 23 182.345 28.500 -2.970
12 30 18 24 182.447 30.000 -2.970
13 31 19 25 185.726 31.500 -2.970
14 32 20 26 192.136 33.000 -2.970
15 33 21 27 191.016 34.500 -2.970
16 34 22 28 189.475 36.000 -2.970
17 35 23 29 206.046 37.500 -2.970
18 36 24 30 205.320 39.000 -2.970
19 37 25 31 197.362 40.500 -2.970
20 38 26 32 189.236 42.000 -2.970
21 39 27 33 189.750 43.500 -2.970
22 40 28 34 193.234 45.000 -2.970
23 41 29 35 171.262 46.500 -2.970
24 42 30 36 168.288 48.000 -2.970
25 43 31 37 177.033 49.500 -2.970
26 44 32 38 177.522 51.000 -2.970
27 45 33 39 175.783 52.500 -2.970
28 46 34 40 177.919 54.000 -2.970
29 47 35 41 201.111 55.500 -2.970
30 48 36 42 210.902 57.000 -2.970
31 49 37 43 202.021 58.500 -2.970
32 50 38 44 198.953 60.000 -2.970
33 51 39 45 195.431 61.500 -2.970
1 22 8 15 163.697 15.750 -3.465
2 23 9 16 168.781 17.250 -3.465
3 24 10 17 177.180 18.750 -3.465
4 25 11 18 176.871 20.250 -3.465
5 26 12 19 176.168 21.750 -3.465
6 27 13 20 176.880 23.250 -3.465
7 28 14 21 176.373 24.750 -3.465
8 29 15 22 172.486 26.250 -3.465
9 30 16 23 171.531 27.750 -3.465
10 31 17 24 172.793 29.250 -3.465
11 32 18 25 174.743 30.750 -3.465
12 33 19 26 176.571 32.250 -3.465
13 34 20 27 176.790 33.750 -3.465
14 35 21 28 178.374 35.250 -3.465
15 36 22 29 184.648 36.750 -3.465
16 37 23 30 189.559 38.250 -3.465
17 38 24 31 185.913 39.750 -3.465
18 39 25 32 184.738 41.250 -3.465
19 40 26 33 180.992 42.750 -3.465
20 41 27 34 172.635 44.250 -3.465
21 42 28 35 165.822 45.750 -3.465
22 43 29 36 163.261 47.250 -3.465
23 44 30 37 157.528 48.750 -3.465
24 45 31 38 166.619 50.250 -3.465
25 46 32 39 170.361 51.750 -3.465
26 47 33 40 178.357 53.250 -3.465
27 48 34 41 189.903 54.750 -3.465
28 49 35 42 195.807 56.250 -3.465
29 50 36 43 189.955 57.750 -3.465
30 51 37 44 194.476 59.250 -3.465
1 25 9 17 157.473 18.000 -3.960
2 26 10 18 159.676 19.500 -3.960
3 27 11 19 164.638 21.000 -3.960
4 28 12 20 159.767 22.500 -3.960
5 29 13 21 155.449 24.000 -3.960
6 30 14 22 159.517 25.500 -3.960
7 31 15 23 161.703 27.000 -3.960
8 32 16 24 160.928 28.500 -3.960
9 33 17 25 164.945 30.000 -3.960
10 34 18 26 163.632 31.500 -3.960
11 35 19 27 160.990 33.000 -3.960
12 36 20 28 164.161 34.500 -3.960
13 37 21 29 172.246 36.000 -3.960
14 38 22 30 168.529 37.500 -3.960
15 39 23 31 167.881 39.000 -3.960
16 40 24 32 170.852 40.500 -3.960
17 41 25 33 163.390 42.000 -3.960
18 42 26 34 158.208 43.500 -3.960
19 43 27 35 160.416 45.000 -3.960
20 44 28 36 158.412 46.500 -3.960
21 45 29 37 150.334 48.000 -3.960
22 46 30 38 155.760 49.500 -3.960
23 47 31 39 163.538 51.000 -3.960
24 48 32 40 170.058 52.500 -3.960
25 49 33 41 179.794 54.000 -3.960
26 50 34 42 181.750 55.500 -3.960
27 51 35 43 178.200 57.000 -3.960
1 28 10 19 149.623 20.250 -4.455
2 29 11 20 143.187 21.750 -4.455
3 30 12 21 143.062 23.250 -4.455
4 31 13 22 146.890 24.750 -4.455
5 32 14 23 145.909 26.250 -4.455
6 33 15 24 150.392 27.750 -4.455
7 34 16 25 151.688 29.250 -4.455
8 35 17 26 154.739 30.750 -4.455
9 36 18 27 151.459 32.250 -4.455
10 37 19 28 148.625 33.750 -4.455
11 38 20 29 153.812 35.250 -4.455
12 39 21 30 154.437 36.750 -4.455
13 40 22 31 149.401 38.250 -4.455
14 41 23 32 148.358 39.750 -4.455
15 42 24 33 146.487 41.250 -4.455
16 43 25 34 148.198 42.750 -4.455
17 44 26 35 144.323 44.250 -4.455
18 45 27 36 148.563 45.750 -4.455
19 46 28 37 151.233 47.250 -4.455
20 47 29 38 149.143 48.750 -4.455
21 48 30 39 155.326 50.250 -4.455
22 49 31 40 161.205 51.750 -4.455
23 50 32 41 163.816 53.250 -4.455
24 51 33 42 167.486 54.750 -4.455
1 31 11 21 133.869 22.500 -4.950
2 32 12 22 132.904 24.000 -4.950
3 33 13 23 133.784 25.500 -4.950
4 34 14 24 134.019 27.000 -4.950
5 35 15 25 139.847 28.500 -4.950
6 36 16 26 142.960 30.000 -4.950
7 37 17 27 140.716 31.500 -4.950
8 38 18 28 136.487 33.000 -4.950
9 39 19 29 138.584 34.500 -4.950
10 40 20 30 137.099 36.000 -4.950
11 41 21 31 130.285 37.500 -4.950
12 42 22 32 129.932 39.000 -4.950
13 43 23 33 133.841 40.500 -4.950
14 44 24 34 134.137 42.000 -4.950
15 45 25 35 132.120 43.500 -4.950
16 46 26 36 134.973 45.000 -4.950
17 47 27 37 139.954 46.500 -4.950
18 48 28 38 149.489 48.000 -4.950
19 49 29 39 146.222 49.500 -4.950
20 50 30 40 144.979 51.000 -4.950
21 51 31 41 154.449 52.500 -4.950
1 34 12 23 121.381 24.750 -5.445
2 35 13 24 123.520 26.250 -5.445
3 36 14 25 126.064 27.750 -5.445
4 37 15 26 128.854 29.250 -5.445
5 38 16 27 125.798 30.750 -5.445
6 39 17 28 125.939 32.250 -5.445
7 40 18 29 125.867 33.750 -5.445
8 41 19 30 118.465 35.250 -5.445
9 42 20 31 115.572 36.750 -5.445
10 43 21 32 117.754 38.250 -5.445
11 44 22 33 116.533 39.750 -5.445
12 45 23 34 120.920 41.250 -5.445
13 46 24 35 122.571 42.750 -5.445
14 47 25 36 125.936 44.250 -5.445
15 48 26 37 128.706 45.750 -5.445
16 49 27 38 133.405 47.250 -5.445
17 50 28 39 136.053 48.750 -5.445
18 51 29 40 135.529 50.250 -5.445
1 37 13 25 114.814 27.000 -5.940
2 38 14 26 114.614 28.500 -5.940
3 39 15 27 113.624 30.000 -5.940
4 40 16 28 111.128 31.500 -5.940
5 41 17 29 109.982 33.000 -5.940
6 42 18 30 107.248 34.500 -5.940
7 43 19 31 104.676 36.000 -5.940
8 44 20 32 105.240 37.500 -5.940
9 45 21 33 106.558 39.000 -5.940
10 46 22 34 107.894 40.500 -5.940
11 47 23 35 111.274 42.000 -5.940
12 48 24 36 118.665 43.500 -5.940
13 49 25 37 116.899 45.000 -5.940
14 50 26 38 118.090 46.500 -5.940
15 51 27 39 121.795 48.000 -5.940
1 40 14 27 100.713 29.250 -6.435
2 41 15 28 97.474 30.750 -6.435
3 42 16 29 98.213 32.250 -6.435
4 43 17 30 97.833 33.750 -6.435
5 44 18 31 94.021 35.250 -6.435
6 45 19 32 95.233 36.750 -6.435
7 46 20 33 96.997 38.250 -6.435
8 47 21 34 100.236 39.750 -6.435
9 48 22 35 103.035 41.250 -6.435
10 49 23 36 105.139 42.750 -6.435
11 50 24 37 105.221 44.250 -6.435
12 51 25 38 108.568 45.750 -6.435
1 43 15 29 90.179 31.500 -6.930
2 44 16 30 87.933 33.000 -6.930
3 45 17 31 86.814 34.500 -6.930
4 46 18 32 87.286 36.000 -6.930
5 47 19 33 88.441 37.500 -6.930
6 48 20 34 93.944 39.000 -6.930
7 49 21 35 92.919 40.500 -6.930
8 50 22 36 93.668 42.000 -6.930
9 51 23 37 95.830 43.500 -6.930
1 46 16 31 79.924 33.750 -7.425
2 47 17 32 81.915 35.250 -7.425
3 48 18 33 83.998 36.750 -7.425
4 49 19 34 83.238 38.250 -7.425
5 50 20 35 83.164 39.750 -7.425
6 51 21 36 86.380 41.250 -7.425
1 49 17 33 76.775 36.000 -7.920
2 50 18 34 76.209 37.500 -7.920
3 51 19 35 75.937 39.000 -7.920
1 2 4 3 1283.275 2.250 -0.877
2 3 5 4 1802.398 3.750 -0.877
3 4 6 5 1680.761 5.250 -0.877
4 5 7 6 1332.019 6.750 -0.877
5 6 8 7 1762.530 8.250 -0.877
6 7 9 8 1551.858 9.750 -0.877
7 8 10 9 1439.787 11.250 -0.877
8 9 11 10 1659.982 12.750 -0.877
9 10 12 11 1513.070 14.250 -0.877
10 11 13 12 1768.012 15.750 -0.877
11 12 14 13 1688.388 17.250 -0.877
12 13 15 14 1360.386 18.750 -0.877
13 14 16 15 1628.125 20.250 -0.877
14 15 17 16 1719.026 21.750 -0.877
15 16 18 17 1566.409 23.250 -0.877
16 17 19 18 1928.322 24.750 -0.877
17 18 20 19 1191.513 26.250 -0.877
18 19 21 20 1320.319 27.750 -0.877
19 20 22 21 1101.422 29.250 -0.877
20 21 23 22 1260.121 30.750 -0.877
21 22 24 23 1451.538 32.250 -0.877
22 23 25 24 1621.054 33.750 -0.877
23 24 26 25 1258.216 35.250 -0.877
24 25 27 26 1308.680 36.750 -0.877
25 26 28 27 1405.704 38.250 -0.877
26 27 29 28 1451.908 39.750 -0.877
27 28 30 29 1204.154 41.250 -0.877
28 29 31 30 1244.919 42.750 -0.877
29 30 32 31 1157.735 44.250 -0.877
30 31 33 32 998.712 45.750 -0.877
31 32 34 33 1500.922 47.250 -0.877
32 33 35 34 1396.273 48.750 -0.877
33 34 36 35 1449.464 50.250 -0.877
34 35 37 36 1486.632 51.750 -0.877
35 36 38 37 2281.374 53.250 -0.877
36 37 39 38 1554.831 54.750 -0.877
37 38 40 39 1526.762 56.250 -0.877
