48# Number of electrodes
# x z
0.000     0.000
2.000     0.000
4.000     0.000
6.000     0.000
8.000     0.000
10.000     0.000
12.000     0.000
14.000     0.000
16.000     0.000
18.000     0.000
20.000     0.000
22.000     0.000
24.000     0.000
26.000     0.000
28.000     0.000
30.000     0.000
32.000     0.000
34.000     0.000
36.000     0.000
38.000     0.000
40.000     0.000
42.000     0.000
44.000     0.000
46.000     0.000
48.000     0.000
50.000     0.000
52.000     0.000
54.000     0.000
56.000     0.000
58.000     0.000
60.000     0.000
62.000     0.000
64.000     0.000
66.000     0.000
68.000     0.000
70.000     0.000
72.000     0.000
74.000     0.000
76.000     0.000
78.000     0.000
80.000     0.000
82.000     0.000
84.000     0.000
86.000     0.000
88.000     0.000
90.000     0.000
92.000     0.000
94.000     0.000
909# Number of data
# a b m n rhoa x z
1 4 2 3 41.461 3.000 -0.660
2 5 3 4 41.790 5.000 -0.660
3 6 4 5 27.086 7.000 -0.660
4 7 5 6 39.771 9.000 -0.660
5 8 6 7 39.585 11.000 -0.660
6 9 7 8 46.499 13.000 -0.660
7 10 8 9 53.508 15.000 -0.660
8 11 9 10 52.284 17.000 -0.660
9 12 10 11 61.531 19.000 -0.660
10 13 11 12 70.371 21.000 -0.660
11 14 12 13 57.012 23.000 -0.660
12 15 13 14 87.067 25.000 -0.660
13 16 14 15 77.586 27.000 -0.660
14 17 15 16 106.593 29.000 -0.660
15 18 16 17 90.279 31.000 -0.660
16 19 17 18 121.861 33.000 -0.660
17 20 18 19 93.146 35.000 -0.660
18 21 19 20 125.107 37.000 -0.660
19 22 20 21 115.250 39.000 -0.660
20 23 21 22 128.532 41.000 -0.660
21 24 22 23 122.193 43.000 -0.660
22 25 23 24 153.658 45.000 -0.660
23 26 24 25 144.532 47.000 -0.660
24 27 25 26 151.584 49.000 -0.660
25 28 26 27 141.925 51.000 -0.660
26 29 27 28 142.636 53.000 -0.660
27 30 28 29 122.280 55.000 -0.660
28 31 29 30 110.316 57.000 -0.660
29 32 30 31 100.567 59.000 -0.660
30 33 31 32 88.433 61.000 -0.660
31 34 32 33 71.038 63.000 -0.660
32 35 33 34 74.173 65.000 -0.660
33 36 34 35 98.278 67.000 -0.660
34 37 35 36 79.819 69.000 -0.660
35 38 36 37 99.052 71.000 -0.660
36 39 37 38 65.725 73.000 -0.660
37 40 38 39 68.172 75.000 -0.660
38 41 39 40 37.823 77.000 -0.660
39 42 40 41 42.252 79.000 -0.660
40 43 41 42 42.020 81.000 -0.660
41 44 42 43 41.020 83.000 -0.660
42 45 43 44 39.788 85.000 -0.660
43 46 44 45 46.038 87.000 -0.660
44 47 45 46 35.331 89.000 -0.660
45 48 46 47 41.789 91.000 -0.660
1 7 3 5 24.699 6.000 -1.320
2 8 4 6 22.325 8.000 -1.320
3 9 5 7 24.686 10.000 -1.320
4 10 6 8 25.784 12.000 -1.320
5 11 7 9 26.374 14.000 -1.320
6 12 8 10 28.450 16.000 -1.320
7 13 9 11 37.272 18.000 -1.320
8 14 10 12 38.664 20.000 -1.320
9 15 11 13 32.607 22.000 -1.320
10 16 12 14 36.505 24.000 -1.320
11 17 13 15 47.070 26.000 -1.320
12 18 14 16 50.532 28.000 -1.320
13 19 15 17 47.319 30.000 -1.320
14 20 16 18 52.431 32.000 -1.320
15 21 17 19 50.695 34.000 -1.320
16 22 18 20 57.318 36.000 -1.320
17 23 19 21 62.815 38.000 -1.320
18 24 20 22 68.166 40.000 -1.320
19 25 21 23 69.815 42.000 -1.320
20 26 22 24 85.994 44.000 -1.320
21 27 23 25 89.869 46.000 -1.320
22 28 24 26 80.472 48.000 -1.320
23 29 25 27 80.400 50.000 -1.320
24 30 26 28 88.790 52.000 -1.320
25 31 27 29 83.985 54.000 -1.320
26 32 28 30 67.563 56.000 -1.320
27 33 29 31 59.628 58.000 -1.320
28 34 30 32 53.947 60.000 -1.320
29 35 31 33 44.535 62.000 -1.320
30 36 32 34 41.672 64.000 -1.320
31 37 33 35 49.816 66.000 -1.320
32 38 34 36 41.998 68.000 -1.320
33 39 35 37 29.848 70.000 -1.320
34 40 36 38 31.732 72.000 -1.320
35 41 37 39 39.158 74.000 -1.320
36 42 38 40 32.863 76.000 -1.320
