48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a b m n rhoa
1 4 2 3 519.476
2 5 3 4 591.121
3 6 4 5 646.441
4 7 5 6 749.948
5 8 6 7 647.912
6 9 7 8 806.926
7 10 8 9 1195.404
8 11 9 10 1713.180
9 12 10 11 1653.846
10 13 11 12 2140.431
11 14 12 13 1857.796
12 15 13 14 1928.698
13 16 14 15 2011.300
14 17 15 16 1992.912
15 18 16 17 2061.397
16 19 17 18 1846.100
17 20 18 19 1644.390
18 21 19 20 1425.063
19 22 20 21 1199.078
20 23 21 22 1042.286
21 24 22 23 831.038
22 25 23 24 866.427
23 26 24 25 938.305
24 27 25 26 1026.014
25 28 26 27 1239.684
26 29 27 28 1377.012
27 30 28 29 1282.538
28 31 29 30 1431.190
29 32 30 31 1379.931
30 33 31 32 1192.965
31 34 32 33 1300.680
32 35 33 34 977.147
33 36 34 35 854.839
34 37 35 36 765.893
35 38 36 37 622.971
36 39 37 38 684.159
37 40 38 39 513.775
38 41 39 40 712.297
39 42 40 41 621.436
40 43 41 42 743.381
41 44 42 43 879.788
42 45 43 44 1040.504
43 46 44 45 1109.552
44 47 45 46 1634.461
45 48 46 47 1779.419
1 7 3 5 575.316
2 8 4 6 801.441
3 9 5 7 766.846
4 10 6 8 723.047
5 11 7 9 1056.628
6 12 8 10 1493.723
7 13 9 11 1500.812
8 14 10 12 1531.783
9 15 11 13 1780.054
10 16 12 14 1890.398
11 17 13 15 1857.487
12 18 14 16 1905.552
13 19 15 17 1997.781
14 20 16 18 1909.771
15 21 17 19 1764.545
16 22 18 20 1584.686
17 23 19 21 1497.444
18 24 20 22 1368.410
19 25 21 23 1187.717
20 26 22 24 1083.853
21 27 23 25 1094.268
22 28 24 26 1068.749
23 29 25 27 1162.995
24 30 26 28 1256.561
25 31 27 29 1195.003
26 32 28 30 1166.165
27 33 29 31 1182.410
28 34 30 32 1098.959
29 35 31 33 1040.867
30 36 32 34 980.743
31 37 33 35 856.478
32 38 34 36 725.070
33 39 35 37 686.730
34 40 36 38 625.799
35 41 37 39 551.065
36 42 38 40 603.914
37 43 39 41 648.864
38 44 40 42 637.619
39 45 41 43 707.889
40 46 42 44 889.075
41 47 43 45 950.294
42 48 44 46 1239.749
1 10 4 7 661.450
2 11 5 8 672.459
3 12 6 9 784.095
4 13 7 10 1075.464
5 14 8 11 1311.917
6 15 9 12 1545.058
7 16 10 13 1481.114
8 17 11 14 1379.689
9 18 12 15 1393.693
10 19 13 16 1541.787
11 20 14 17 1608.050
12 21 15 18 1672.455
13 22 16 19 1607.652
14 23 17 20 1519.865
15 24 18 21 1447.346
16 25 19 22 1374.922
17 26 20 23 1282.093
18 27 21 24 1166.175
19 28 22 25 1047.569
20 29 23 26 1081.446
21 30 24 27 1118.341
22 31 25 28 1136.219
23 32 26 29 1086.436
24 33 27 30 1001.289
25 34 28 31 922.214
26 35 29 32 866.377
27 36 30 33 873.042
28 37 31 34 853.174
29 38 32 35 784.699
30 39 33 36 707.889
31 40 34 37 643.361
32 41 35 38 574.658
33 42 36 39 546.725
34 43 37 40 564.738
35 44 38 41 542.168
36 45 39 42 586.873
37 46 40 43 629.706
38 47 41 44 724.536
39 48 42 45 785.399
1 13 5 9 619.238
2 14 6 10 837.968
3 15 7 11 1015.671
4 16 8 12 1169.256
5 17 9 13 1200.834
6 18 10 14 1180.999
7 19 11 15 1104.002
8 20 12 16 1050.126
9 21 13 17 1095.799
10 22 14 18 1212.861
11 23 15 19 1340.115
12 24 16 20 1376.496
13 25 17 21 1310.766
14 26 18 22 1224.425
15 27 19 23 1098.636
16 28 20 24 1038.627
17 29 21 25 984.368
18 30 22 26 923.921
19 31 23 27 986.586
20 32 24 28 1007.378
21 33 25 29 946.335
22 34 26 30 916.444
23 35 27 31 819.716
24 36 28 32 739.471
25 37 29 33 727.205
26 38 30 34 683.080
27 39 31 35 685.792
28 40 32 36 657.846
29 41 33 37 568.095
30 42 34 38 549.625
31 43 35 39 500.724
32 44 36 40 499.565
33 45 37 41 516.256
34 46 38 42 514.381
35 47 39 43 581.329
36 48 40 44 617.320
1 16 6 11 745.052
2 17 7 12 821.512
3 18 8 13 864.006
4 19 9 14 872.762
5 20 10 15 879.185
6 21 11 16 899.083
7 22 12 17 841.146
8 23 13 18 850.054
9 24 14 19 933.035
10 25 15 20 1067.842
11 26 16 21 1093.547
12 27 17 22 1019.695
13 28 18 23 905.265
14 29 19 24 843.965
15 30 20 25 794.348
16 31 21 26 771.210
17 32 22 27 774.551
18 33 23 28 794.642
19 34 24 29 793.661
20 35 25 30 798.882
21 36 26 31 792.793
22 37 27 32 715.775
23 38 28 33 642.027
24 39 29 34 623.882
25 40 30 35 570.034
26 41 31 36 540.131
27 42 32 37 537.233
28 43 33 38 490.812
29 44 34 39 443.263
30 45 35 40 453.262
31 46 36 41 456.642
32 47 37 42 458.579
33 48 38 43 493.206
1 19 7 13 593.212
2 20 8 14 640.933
3 21 9 15 660.446
4 22 10 16 673.513
5 23 11 17 734.556
6 24 12 18 755.435
7 25 13 19 749.692
8 26 14 20 737.613
9 27 15 21 742.133
10 28 16 22 751.683
11 29 17 23 707.572
12 30 18 24 674.952
13 31 19 25 629.612
14 32 20 26 603.734
15 33 21 27 576.739
16 34 22 28 579.376
17 35 23 29 613.113
18 36 24 30 651.850
19 37 25 31 683.039
20 38 26 32 681.888
21 39 27 33 653.550
22 40 28 34 577.926
23 41 29 35 528.456
24 42 30 36 490.618
25 43 31 37 454.211
26 44 32 38 434.687
27 45 33 39 402.512
28 46 34 40 402.390
29 47 35 41 385.828
30 48 36 42 388.704
1 22 8 15 481.101
2 23 9 16 557.172
3 24 10 17 599.660
4 25 11 18 623.597
5 26 12 19 631.001
6 27 13 20 602.339
7 28 14 21 542.480
8 29 15 22 497.583
9 30 16 23 473.312
10 31 17 24 489.236
11 32 18 25 477.682
12 33 19 26 456.193
13 34 20 27 450.518
14 35 21 28 438.358
15 36 22 29 436.494
16 37 23 30 493.580
17 38 24 31 541.848
18 39 25 32 576.407
19 40 26 33 598.852
20 41 27 34 565.842
21 42 28 35 519.053
22 43 29 36 472.704
23 44 30 37 416.441
24 45 31 38 393.192
25 46 32 39 365.807
26 47 33 40 346.005
27 48 34 41 333.073
1 25 9 17 487.455
2 26 10 18 514.970
3 27 11 19 497.863
4 28 12 20 451.593
5 29 13 21 427.854
6 30 14 22 399.943
7 31 15 23 358.747
8 32 16 24 325.168
9 33 17 25 309.809
10 34 18 26 330.300
11 35 19 27 336.904
12 36 20 28 351.387
13 37 21 29 349.188
14 38 22 30 362.622
15 39 23 31 405.658
16 40 24 32 441.876
17 41 25 33 487.350
18 42 26 34 510.229
19 43 27 35 489.656
20 44 28 36 445.782
21 45 29 37 418.504
22 46 30 38 374.294
23 47 31 39 331.991
24 48 32 40 315.854
1 28 10 19 378.303
2 29 11 20 365.545
3 30 12 21 330.345
4 31 13 22 300.122
5 32 14 23 281.223
6 33 15 24 268.500
7 34 16 25 245.213
8 35 17 26 223.820
9 36 18 27 236.733
10 37 19 28 264.408
11 38 20 29 277.212
12 39 21 30 299.486
13 40 22 31 311.342
14 41 23 32 337.047
15 42 24 33 374.538
16 43 25 34 401.973
17 44 26 35 421.281
18 45 27 36 412.100
19 46 28 37 382.850
20 47 29 38 359.422
21 48 30 39 318.087
1 31 11 21 268.041
2 32 12 22 241.525
3 33 13 23 215.622
4 34 14 24 206.739
5 35 15 25 204.831
6 36 16 26 206.298
7 37 17 27 199.158
8 38 18 28 196.211
9 39 19 29 209.387
10 40 20 30 237.210
11 41 21 31 252.734
12 42 22 32 271.008
13 43 23 33 296.295
14 44 24 34 312.856
15 45 25 35 331.745
16 46 26 36 340.737
17 47 27 37 337.357
18 48 28 38 317.185
1 34 12 23 177.235
2 35 13 24 171.674
3 36 14 25 171.030
4 37 15 26 174.549
5 38 16 27 180.675
6 39 17 28 186.238
7 40 18 29 181.603
8 41 19 30 186.285
9 42 20 31 203.417
10 43 21 32 216.411
11 44 22 33 232.528
12 45 23 34 258.121
13 46 24 35 267.745
14 47 25 36 271.049
15 48 26 37 272.109
1 37 13 25 148.421
2 38 14 26 152.980
3 39 15 27 163.186
4 40 16 28 166.946
5 41 17 29 168.872
6 42 18 30 179.160
7 43 19 31 178.418
8 44 20 32 176.874
9 45 21 33 190.946
10 46 22 34 202.424
11 47 23 35 216.091
12 48 24 36 223.185
1 40 14 27 146.168
2 41 15 28 154.284
3 42 16 29 158.550
4 43 17 30 162.746
5 44 18 31 164.963
6 45 19 32 167.818
7 46 20 33 164.650
8 47 21 34 168.022
9 48 22 35 169.625
1 43 15 29 147.397
2 44 16 30 153.420
3 45 17 31 156.466
4 46 18 32 149.051
5 47 19 33 152.012
6 48 20 34 155.053
1 46 16 31 144.054
2 47 17 32 138.365
3 48 18 33 137.241
1 2 4 3 663.807
2 3 5 4 671.199
3 4 6 5 641.128
4 5 7 6 602.291
5 6 8 7 749.291
6 7 9 8 646.305
7 8 10 9 893.032
8 9 11 10 1623.045
9 10 12 11 2649.794
10 11 13 12 1865.601
11 12 14 13 2008.563
12 13 15 14 1751.438
13 14 16 15 1884.951
14 15 17 16 2373.760
15 16 18 17 2052.554
16 17 19 18 1782.982
17 18 20 19 1602.501
18 19 21 20 1419.408
19 20 22 21 1162.310
20 21 23 22 751.880
21 22 24 23 717.603
22 23 25 24 740.052
23 24 26 25 800.703
24 25 27 26 1025.082
25 26 28 27 1219.043
26 27 29 28 1439.655
27 28 30 29 1626.687
28 29 31 30 1232.362
29 30 32 31 1389.148
30 31 33 32 1676.654
31 32 34 33 1118.509
32 33 35 34 1136.872
33 34 36 35 895.983
34 35 37 36 644.075
35 36 38 37 716.164
36 37 39 38 576.541
37 38 40 39 722.518
38 39 41 40 470.698
39 40 42 41 729.619
40 41 43 42 754.754
41 42 44 43 881.806
42 43 45 44 1046.335
43 44 46 45 1304.813
44 45 47 46 1300.071
45 46 48 47 2123.739
1 2 5 4 596.978
2 3 6 5 643.237
3 4 7 6 550.608
4 5 8 7 722.768
5 6 9 8 1129.688
6 7 10 9 898.372
7 8 11 10 1008.508
8 9 12 11 1920.930
9 10 13 12 2413.378
10 11 14 13 1984.649
11 12 15 14 1952.805
12 13 16 15 2216.177
13 14 17 16 2264.920
14 15 18 17 2344.107
15 16 19 18 2209.441
16 17 20 19 2016.806
17 18 21 20 1790.665
18 19 22 21 1532.203
