51# Number of electrodes
# x z
0.000     0.000
1.500     0.000
3.000     0.000
4.500     0.000
6.000     0.000
7.500     0.000
9.000     0.000
10.500     0.000
12.000     0.000
13.500     0.000
15.000     0.000
16.500     0.000
18.000     0.000
19.500     0.000
21.000     0.000
22.500     0.000
24.000     0.000
25.500     0.000
27.000     0.000
28.500     0.000
30.000     0.000
31.500     0.000
33.000     0.000
34.500     0.000
36.000     0.000
37.500     0.000
39.000     0.000
40.500     0.000
42.000     0.000
43.500     0.000
45.000     0.000
46.500     0.000
48.000     0.000
49.500     0.000
51.000     0.000
52.500     0.000
54.000     0.000
55.500     0.000
57.000     0.000
58.500     0.000
60.000     0.000
61.500     0.000
63.000     0.000
64.500     0.000
66.000     0.000
67.500     0.000
69.000     0.000
70.500     0.000
72.000     0.000
73.500     0.000
75.000     0.000
1011# Number of data
# a b m n rhoa
1 4 2 3 1332.400
2 5 3 4 1164.412
3 6 4 5 1246.870
4 7 5 6 1384.613
5 8 6 7 1138.268
6 9 7 8 1271.332
7 10 8 9 1290.832
8 11 9 10 1178.974
9 12 10 11 1358.181
10 13 11 12 1296.642
11 14 12 13 1247.473
12 15 13 14 1342.164
13 16 14 15 1260.983
14 17 15 16 1293.296
15 18 16 17 1445.511
16 19 17 18 1139.800
17 20 18 19 1326.717
18 21 19 20 942.689
19 22 20 21 1054.103
20 23 21 22 1083.233
21 24 22 23 1148.831
22 25 23 24 1087.601
23 26 24 25 1202.189
24 27 25 26 1129.347
25 28 26 27 1091.799
26 29 27 28 1039.581
27 30 28 29 1136.421
28 31 29 30 955.229
29 32 30 31 887.558
30 33 31 32 1067.252
31 34 32 33 984.552
32 35 33 34 1163.902
33 36 34 35 1172.895
34 37 35 36 1464.905
35 38 36 37 1207.639
36 39 37 38 1542.374
37 40 38 39 1381.250
38 41 39 40 1287.633
39 42 40 41 1448.906
40 43 41 42 1435.616
41 44 42 43 1087.911
42 45 43 44 1291.870
43 46 44 45 1061.339
44 47 45 46 969.442
45 48 46 47 1142.273
46 49 47 48 1111.306
47 50 48 49 1113.681
48 51 49 50 1358.853
1 7 3 5 497.043
2 8 4 6 527.340
3 9 5 7 553.735
4 10 6 8 476.999
5 11 7 9 552.335
6 12 8 10 528.735
7 13 9 11 532.130
8 14 10 12 548.598
9 15 11 13 562.857
10 16 12 14 569.939
11 17 13 15 603.649
12 18 14 16 604.989
13 19 15 17 546.784
14 20 16 18 575.140
15 21 17 19 607.309
16 22 18 20 536.954
17 23 19 21 502.793
18 24 20 22 559.002
19 25 21 23 554.717
20 26 22 24 462.668
21 27 23 25 516.271
22 28 24 26 642.565
23 29 25 27 489.578
24 30 26 28 434.319
25 31 27 29 510.454
26 32 28 30 561.967
27 33 29 31 398.953
28 34 30 32 413.380
29 35 31 33 497.607
30 36 32 34 491.989
31 37 33 35 511.392
32 38 34 36 513.818
33 39 35 37 501.139
34 40 36 38 605.320
35 41 37 39 620.406
36 42 38 40 535.914
37 43 39 41 587.327
38 44 40 42 614.072
39 45 41 43 499.040
40 46 42 44 488.843
41 47 43 45 561.603
42 48 44 46 482.256
43 49 45 47 464.539
44 50 46 48 486.954
45 51 47 49 483.935
1 10 4 7 279.459
2 11 5 8 286.533
3 12 6 9 281.426
4 13 7 10 276.600
5 14 8 11 289.054
6 15 9 12 312.013
7 16 10 13 304.067
8 17 11 14 312.698
9 18 12 15 317.124
10 19 13 16 290.696
11 20 14 17 312.884
12 21 15 18 327.531
13 22 16 19 320.591
14 23 17 20 305.413
15 24 18 21 319.480
16 25 19 22 291.998
17 26 20 23 303.084
18 27 21 24 299.090
19 28 22 25 322.388
20 29 23 26 292.331
21 30 24 27 278.910
22 31 25 28 273.734
23 32 26 29 283.467
24 33 27 30 274.981
25 34 28 31 284.009
26 35 29 32 276.959
27 36 30 33 263.159
28 37 31 34 291.344
29 38 32 35 273.402
30 39 33 36 274.151
31 40 34 37 261.794
32 41 35 38 287.205
33 42 36 39 272.298
34 43 37 40 314.916
35 44 38 41 299.500
36 45 39 42 307.207
37 46 40 43 288.679
38 47 41 44 289.219
39 48 42 45 278.469
40 49 43 46 292.200
41 50 44 47 266.512
42 51 45 48 262.342
1 13 5 9 218.301
2 14 6 10 204.124
3 15 7 11 221.872
4 16 8 12 228.451
5 17 9 13 224.892
6 18 10 14 234.205
7 19 11 15 225.421
8 20 12 16 227.258
9 21 13 17 237.223
10 22 14 18 231.879
11 23 15 19 247.619
12 24 16 20 244.069
13 25 17 21 233.186
14 26 18 22 231.821
15 27 19 23 221.478
16 28 20 24 233.866
17 29 21 25 232.570
18 30 22 26 228.823
19 31 23 27 233.003
20 32 24 28 222.497
21 33 25 29 226.443
22 34 26 30 218.281
23 35 27 31 215.402
24 36 28 32 227.856
25 37 29 33 221.530
26 38 30 34 217.999
27 39 31 35 214.725
28 40 32 36 219.349
29 41 33 37 208.473
30 42 34 38 200.688
31 43 35 39 209.267
32 44 36 40 208.858
33 45 37 41 234.125
34 46 38 42 233.914
35 47 39 43 220.716
36 48 40 44 249.503
37 49 41 45 227.951
38 50 42 46 199.965
39 51 43 47 199.827
1 16 6 11 185.859
2 17 7 12 194.618
3 18 8 13 196.709
4 19 9 14 189.933
5 20 10 15 198.267
6 21 11 16 207.235
7 22 12 17 204.060
8 23 13 18 210.234
9 24 14 19 217.364
10 25 15 20 206.376
11 26 16 21 204.779
12 27 17 22 209.140
13 28 18 23 205.255
14 29 19 24 189.756
15 30 20 25 201.068
16 31 21 26 211.635
17 32 22 27 205.536
18 33 23 28 207.652
19 34 24 29 219.031
20 35 25 30 207.912
21 36 26 31 196.279
22 37 27 32 206.184
23 38 28 33 205.112
24 39 29 34 193.393
25 40 30 35 191.746
26 41 31 36 196.524
27 42 32 37 179.424
28 43 33 38 188.226
29 44 34 39 188.278
30 45 35 40 193.552
31 46 36 41 200.716
32 47 37 42 216.977
33 48 38 43 212.824
34 49 39 44 219.948
35 50 40 45 207.650
36 51 41 46 189.040
1 19 7 13 170.706
2 20 8 14 176.441
3 21 9 15 180.246
4 22 10 16 182.810
5 23 11 17 191.726
6 24 12 18 197.030
7 25 13 19 195.007
8 26 14 20 187.759
9 27 15 21 191.445
10 28 16 22 191.703
11 29 17 23 182.345
12 30 18 24 182.447
13 31 19 25 185.726
14 32 20 26 192.136
15 33 21 27 191.016
16 34 22 28 189.475
17 35 23 29 206.046
18 36 24 30 205.320
19 37 25 31 197.362
20 38 26 32 189.236
21 39 27 33 189.750
22 40 28 34 193.234
23 41 29 35 171.262
24 42 30 36 168.288
25 43 31 37 177.033
26 44 32 38 177.522
27 45 33 39 175.783
28 46 34 40 177.919
29 47 35 41 201.111
30 48 36 42 210.902
31 49 37 43 202.021
32 50 38 44 198.953
33 51 39 45 195.431
1 22 8 15 163.697
2 23 9 16 168.781
3 24 10 17 177.180
