60# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
48.000     0.000
49.000     0.000
50.000     0.000
51.000     0.000
52.000     0.000
53.000     0.000
54.000     0.000
55.000     0.000
56.000     0.000
57.000     0.000
58.000     0.000
59.000     0.000
1350# Number of data
# a b m n rhoa
1 4 2 3 4336.372
2 5 3 4 3411.729
3 6 4 5 4184.680
4 7 5 6 3598.308
5 8 6 7 3885.412
6 9 7 8 3413.934
7 10 8 9 2989.885
8 11 9 10 2878.956
9 12 10 11 2207.164
10 13 11 12 1946.883
11 14 12 13 2417.104
12 15 13 14 2578.937
13 16 14 15 2599.526
14 17 15 16 3044.021
15 18 16 17 2665.846
16 19 17 18 2660.153
17 20 18 19 2410.691
18 21 19 20 2284.107
19 22 20 21 2236.110
20 23 21 22 2056.376
21 24 22 23 1689.178
22 25 23 24 1575.990
23 26 24 25 1384.074
24 27 25 26 1097.222
25 28 26 27 1181.124
26 29 27 28 1457.686
27 30 28 29 1413.727
28 31 29 30 1470.324
29 32 30 31 1670.014
30 33 31 32 1578.922
31 34 32 33 1480.729
32 35 33 34 1905.590
33 36 34 35 1511.533
34 37 35 36 1972.933
35 38 36 37 1834.225
36 39 37 38 1828.366
37 40 38 39 1769.945
38 41 39 40 1818.904
39 42 40 41 1680.196
40 43 41 42 1826.195
